market_cap,price,dia,capitalizacion propia,cripto
1691884800000,1.7564518941362126,20,222553497,Worldcoin
1691971200000,1.7717940642196752,21,224497447,Worldcoin
1692057600000,1.7722050780428824,22,224549525,Worldcoin
1692144000000,1.6169073587385225,23,204872327,Worldcoin
1692230400000,1.5245429863574387,24,193169181,Worldcoin
1692316800000,1.359168188435916,25,172215154,Worldcoin
1692403200000,1.5461274044129554,26,195904062,Worldcoin
1692489600000,1.4788520118030584,27,187379847,Worldcoin
1692576000000,1.4670042571101007,28,185878662,Worldcoin
1692662400000,1.4728411120404146,29,186618228,Worldcoin
1692739307000,1.4163328520111365,30,179458276,Worldcoin
1690243200000,0.7035253934126873,1,37175596287,XRP
1690329600000,0.710252778978069,2,37531083910,XRP
1690416000000,0.7158774882632872,3,37828304058,XRP
1690502400000,0.713435782414364,4,37699279759,XRP
1690588800000,0.7122965862439442,5,37639082505,XRP
1690675200000,0.7126071592756545,6,37655493764,XRP
1690761600000,0.7049110934788799,7,37248819268,XRP
1690848000000,0.6990302831310987,8,36938066261,XRP
1690934400000,0.7072155102655546,9,37370588957,XRP
1691020800000,0.6847397250082338,10,36182926469,XRP
1691107200000,0.6642104250823613,11,35098119903,XRP
1691193600000,0.6358100524337328,12,33597391147,XRP
1691280000000,0.6284302339961231,13,33207427752,XRP
1691366400000,0.6221532337189516,14,32875739330,XRP
1691452800000,0.6208379591018611,15,32806237761,XRP
1691539200000,0.6426242001562646,16,33957463445,XRP
1691625600000,0.6436052062261336,17,34009301639,XRP
1691712000000,0.6332138416848744,18,33460202521,XRP
1691798400000,0.631617580467985,19,33375853095,XRP
1691884800000,0.6270807267798834,20,33136117270,XRP
1691971200000,0.6256892005801732,21,33062586425,XRP
1692057600000,0.6346809011389943,22,33537724683,XRP
1692144000000,0.6093303800158635,23,32198155781,XRP
1692230400000,0.5892528804005854,24,31137223188,XRP
1692316800000,0.5045364413631485,25,26660648261,XRP
1692403200000,0.5055391266986587,26,26713632027,XRP
1692489600000,0.5197335651388897,27,27463692676,XRP
1692576000000,0.5390316044671543,28,28483437132,XRP
1692662400000,0.5244055106671905,29,27710567007,XRP
1692719459000,0.5129004795638288,30,27102619667,XRP
