id,name,year_established,country,description,url,image,has_trading_incentive,trust_score,trust_score_rank,trade_volume_24h_btc,trade_volume_24h_btc_normalized
bitmex_spot,BitMEX,,Seychelles,,https://www.bitmex.com/spot/,https://assets.coingecko.com/markets/images/866/small/bitmex.jpeg?1652794708,False,8,42,5.306128754079494,5.306128754079494
nice_hash,NiceHash,,Slovenia,,https://www.nicehash.com,https://assets.coingecko.com/markets/images/546/small/logo_small_light.png?1637836622,False,8,43,4.712996471970244,4.712996471970244
bitmart,BitMart,2017.0,Cayman Islands,,https://www.bitmart.com/en,https://assets.coingecko.com/markets/images/239/small/Bitmart.png?1628066397,False,7,44,29012.534216430526,22817.652044923634
lbank,LBank,2015.0,British Virgin Islands,"LBank is a globally based centralized exchange (CEX) platform established in 2015. The platform allows users to buy and sell major crypto assets like Bitcoin (BTC) and Ethereum (ETH) in over 149 fiat currencies, with over 20 payment methods. The company has licenses from the National Futures Association, Italian Organismo degli Agenti e dei Mediatori, and money services businesses in the United States & Canada. The LBank exchange has over 9 million users and accepts clients from over 200 regions.
LBank Exchange provides its users with crypto trading, specialized financial derivatives, and professional asset management services.
 ",https://www.lbank.com,https://assets.coingecko.com/markets/images/118/small/LBank_logo.png?1666234663,False,7,45,21105.595379145227,21105.595379145227
xt,XT.COM,2018.0,Seychelles,"By consistently expanding its ecosystem, XT.COM is dedicated to providing users with the most secure, trusted, and hassle-free digital asset trading services. Our exchange is built from a desire to give everyone access to digital assets regardless where you are. 

Founded in 2018, XT.COM now serves more than 6 million registered users, over 500,000+ monthly active users and 40+ million users in the ecosystem. Covering a rich variety of  trading categories together with a NFT aggregated marketplace,  our platform strives to cater to its large user base by providing a secure, trusted and intuitive trading experience.

As the world’s first social-infused digital assets trading platform, XT.COM also supports social networking platform based transactions to make our crypto services more accessible to users all over the world. Furthermore, to ensure optimal data integrity and security, we see user security as our top priority at XT.COM. ",https://www.xt.com/,https://assets.coingecko.com/markets/images/404/small/logo400x400.png?1575881839,False,7,46,23672.76477391976,18739.778400108175
upbit,Upbit,2017.0,South Korea,,https://upbit.com,https://assets.coingecko.com/markets/images/117/small/upbit.png?1520388800,False,7,47,28160.958732570525,16703.526351245975
latoken,LATOKEN,2017.0,Cayman Islands,,https://latoken.com/,https://assets.coingecko.com/markets/images/124/small/latoken.png?1685942070,False,7,48,13557.166668730504,13557.166668730504
bitrue,Bitrue,2018.0,Singapore,,https://www.bitrue.com/,https://assets.coingecko.com/markets/images/254/small/unnamed_%281%29.png?1656295820,False,7,49,32227.21658204261,12006.016251781208
p2pb2b,P2B,2018.0,Lithuania,"P2B is a top crypto platform in Europe and has gotten into the TOP-3 Crypto Exchanges by growth speed. It offers the best go-to-market experience to diverse crypto startups. At the exchange, investors can find a wide variety of newly-launched tokens.


The platform attracts new crypto projects due to the high-level liquidity of the crypto exchange. One of the essential benefits of the crypto exchange is the high-level security of every launch and operation. It's in the TOP-15 in Cer.Live security rate. 


The exchange has 6-year-old experience in the crypto field and has presented more than 2,000 crypto projectsʼ launches. The go-to-market team of the exchange has designed a well-thought strategy for marketing and promoting newly-launched projects to enhance their liquidity and involve new investors.


P2B offers a top-grade launchpad with extended functionality for newly-launched crypto projects. The platform offers additional liquidity services to support a token price after a listing stage and avoid a price drop. It doesn't have limitations, a ticket system, and doesn't hold tokens. The total amount of funds raised through launchpads is already more than $10 million, and the top results from one launchpad are $2+ million.


P2B is popular among newly-launched crypto projects due to easy-to-go onboarding, a loyal listing requirement for the 1st listing, expertise, and well-designed tools for the project's promotion. The exchange also contributes to the development of WEB 3.0 by creating the Fund of Rising Stars to support projects with high potential and strong ideas.


Join the prosperous P2B community—the #1 place to be in crypto.

Get your exciting trading experience and earn fast and securely with 24/7 support.

",https://p2pb2b.com/,https://assets.coingecko.com/markets/images/251/small/ow0xng56_400x400.jpeg?1664939403,False,7,50,17353.89901776274,11652.201904320544
coinsbit,Coinsbit,,Estonia,,https://coinsbit.io/,https://assets.coingecko.com/markets/images/267/small/Coinsbit.png?1605153697,False,7,51,10110.42782354183,10110.42782354183
toobit,Toobit,2022.0,Cayman Islands,,https://www.toobit.com/,https://assets.coingecko.com/markets/images/1139/small/Toobit_logo400X400.png?1686549566,False,7,52,12455.335696167163,6385.211723830739
bithumb,Bithumb,2014.0,South Korea,,https://www.bithumb.com/,https://assets.coingecko.com/markets/images/6/small/bithumb_BI.png?1573104549,False,7,53,7229.89828082556,5990.57366098096
difx,DIFX,2021.0,Cayman Islands,,https://difx.com/en,https://assets.coingecko.com/markets/images/1138/small/difx.png?1683531591,False,7,54,4343.242329919522,3723.9033362274595
azbit,Azbit,,Seychelles,"Azbit is a new generation exchange offering the most in-demand services on the market. Spot exchange, margin trading, crypto-backed loans.",https://azbit.com/,https://assets.coingecko.com/markets/images/787/small/logo.png?1679018698,False,7,55,2978.451090996651,2978.451090996651
bigone,BigONE,2017.0,Netherlands,,https://bigone.com,https://assets.coingecko.com/markets/images/100/small/qcFFufEY_400x400.jpg?1561103345,False,7,56,2914.6636616906394,2914.6636616906394
btcturk,BtcTurk | Kripto,2013.0,Turkey,,https://kripto.btcturk.com/en,https://assets.coingecko.com/markets/images/223/small/btctrurk_kripto.png?1689655713,False,7,57,2987.321836497493,2426.0672481862316
paribu,Paribu,,Turkey,,https://www.paribu.com/,https://assets.coingecko.com/markets/images/136/small/paribu.jpg?1527734779,,7,58,2388.5425691548235,1781.1964530246087
bitflyer,bitFlyer,2014.0,Japan,,https://bitflyereuropesa.pxf.io/c/2223866/858437/11990,https://assets.coingecko.com/markets/images/5/small/bitFlyer-logo.png?1643256033,False,7,59,717.4812657086136,717.4812657086136
bitexen,Bitexen,2018.0,Turkey,,https://www.bitexen.com/,https://assets.coingecko.com/markets/images/693/small/Bitexen_Logo_Short.png?1634198471,False,7,60,921.6071010291861,488.44741016725703
kanga,Kanga,2018.0,Belize,,https://kanga.exchange/,https://assets.coingecko.com/markets/images/852/small/KaNGa_logo.png?1681790128,False,7,61,389.56617248847283,389.56617248847283
independent_reserve,Independent Reserve,2013.0,Australia,,https://www.independentreserve.com/,https://assets.coingecko.com/markets/images/389/small/x_V5Jquo_400x400.png?1556071437,False,7,62,300.23209990790997,300.23209990790997
btcmarkets,BTCMarkets,,Australia,,https://www.btcmarkets.net/,https://assets.coingecko.com/markets/images/237/small/BTCMarkets_logo2.png?1677732205,False,7,63,127.63734516645091,127.63734516645091
cex,CEX.IO,2013.0,United Kingdom,,https://cex.io/,https://assets.coingecko.com/markets/images/56/small/main-icon.png?1617267530,False,7,64,121.20393525513184,121.20393525513184
itbit,itBit,2013.0,United States,,https://www.itbit.com/,https://assets.coingecko.com/markets/images/26/small/itbit.png?1519810172,False,7,65,76.84705307434787,76.84705307434787
korbit,Korbit,2013.0,South Korea,,https://www.korbit.co.kr/,https://assets.coingecko.com/markets/images/28/small/korbit-logo.png?1584091827,False,7,66,56.86968085784027,56.86968085784027
delta_spot,Delta Exchange,,Jamaica,,https://www.delta.exchange/app/spot/trade/,https://assets.coingecko.com/markets/images/642/small/delta_spot.jpg?1617283005,False,7,67,14.95822447780888,14.95822447780888
